title,url,create_time,author,content
Re: [爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽,https://www.ptt.cc/bbs/Gossiping/M.1596798406.A.DFF.html,2020-08-07 19:06:44,kouta (F.U.),"用VPN日本試了幾組關鍵字

台灣不行，台 灣跟台灣人可以。

支那 可以：

(小熊)維尼 不行：

習近平 習維尼不行。

蔡英文 不行：

川普 不行：

柯文哲 可以：

人權 可以(反而蘋果的刻印不行)。

民主 不行：

時代革命、港獨 不行。

賴清德 不行。

黃國昌 可以。

韓國瑜 不行。

達賴 不行。

民進黨 國民黨不行：

民眾黨 可以：

時代力量、基進黨 可以。"
Re: [爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽(發錢),https://www.ptt.cc/bbs/Gossiping/M.1596796189.A.128.html,2020-08-07 18:29:47,tim731207 (鈞毓寶貝),": 是這樣啦，我有朋友跟我說他在國外想要在最挺臺灣的蝦皮買東西，可是他想買臺灣的東

: 西卻什麼都搜不到，我想說我平常也很喜歡在蝦皮買東西都搜的到啊?

: 他貼圖給我一對照才發現蝦皮國外連搜尋臺灣兩個字都被遮掉，跟我在臺灣搜尋的結果完

: 全不同!

: 

: 

: 附帶果不其然也沒搜到東西的臺灣獨立等等某國不喜歡的各式關鍵字

: 

: 

: 

: 支不支持是一回事，奇怪的是為什麼這些關鍵字臺灣都搜的到東西，但是非臺灣就被禁止?

: 意思是臺灣人自己有搜到就不會吵了，國外的看不到臺灣人不知道也無所謂?

: 最扯的是國外搜不到臺灣，臺灣這兩個字對蝦皮而言在國外是跟髒話一樣的禁語必須遮嗎?

: 蝦皮不是最挺臺灣跟政府關係密切怎麼會做出這種事?

: 臺灣價值這四個字真的是越看越噁心...

: 只要""關係""好，你實際上挺不挺台灣，是不是真的在乎這塊土地根本不重要

推文有人問了一些原po沒有的關鍵字，秉持實驗精神查了一下:

taiwan能查到嗎? no!

中國臺灣呢? yes!

看來蝦皮覺得中國臺灣才對呢，太神啦蝦皮!

鬼才信是什麼搜尋系統爛，如果是這樣為什麼國家不同結果就不一樣?

國外擋台灣是要對中國示忠還是根本就是裡面的中國人要求這樣擋的?

發錢高調，首推100p，每10推100p發到100推，第87推87p 稅後

垃圾中資賺台灣錢背後還弄這種小動作???"
[爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽,https://www.ptt.cc/bbs/Gossiping/M.1596709635.A.1FC.html,2020-08-06 18:27:13,lssh10523 (KTL),"是這樣啦，我有朋友跟我說他在國外想要在最挺臺灣的蝦皮買東西，可是他想買臺灣的東
西卻什麼都搜不到，我想說我平常也很喜歡在蝦皮買東西都搜的到啊?

他貼圖給我一對照才發現蝦皮國外連搜尋臺灣兩個字都被遮掉，跟我在臺灣搜尋的結果完
全不同!

附帶果不其然也沒搜到東西的臺灣獨立等等某國不喜歡的各式關鍵字

支不支持是一回事，奇怪的是為什麼這些關鍵字臺灣都搜的到東西，但是非臺灣就被禁止?
意思是臺灣人自己有搜到就不會吵了，國外的看不到臺灣人不知道也無所謂?
最扯的是國外搜不到臺灣，臺灣這兩個字對蝦皮而言在國外是跟髒話一樣的禁語必須遮嗎?
蝦皮不是最挺臺灣跟政府關係密切怎麼會做出這種事?
臺灣價值這四個字真的是越看越噁心...

只要""關係""好，你實際上挺不挺台灣，是不是真的在乎這塊土地根本不重要"
[爆卦] 前八卦板主IbakaBlock在蝦皮出售帳號!!!,https://www.ptt.cc/bbs/Gossiping/M.1572436091.A.02C.html,2019-10-30 19:48:07,zhtw (終將化爲泡影),"文前警告

PTT不能明示暗示要出售或徵求帳號   不然帳號會被砍除！！！！

問自己帳號值多少錢也不行！請珍惜自己的帳號！！！！！！！！

不知道前因的人，請先看下面這篇文章

文章代碼(AID): 
#1Tk2HyaK (Gossiping)

 [爆卦] (代po)疑似前八卦板主出售帳號ID

網頁版連結：

經我抽絲剝繭後，有了第二篇文章

文章代碼(AID): 
#1Tk3Bx8_ (Gossiping)

網頁版連結：

簡單來說，這位賣帳號的板主
jerry030216
有幾個特徵
1.登入次數2000次左右 

2.發文數1000篇以上
3.臺中人  

我在27日時就發現這個賣帳者了
所以在27日當天，我用網頁時光機備份了他的蝦皮賣場

板友們可以看一下當時的備份

這樣一來，範圍已經縮小很多很多了
再來，大家可以用Line搜尋IbakaBlock
可以知道，他也叫做Jerry，天底下有這麼多的巧合？

當時我就懷疑
賣帳者就是IbakaBlock

後來，我又找到了新的證據

證據就在

[問卦] 為什麼港澳要承認中華民國護照?

此篇文章他已經刪除了，但我早已備份

可以看到 Ibakablock 貼了一張入境申請表

查詢了imgur中jerry030216的帳號

可以發現一件事
Ibakablock連結的這張入境申請表就是jerry030216上傳的

由此可知，
jerry030216就是Ibakablock

這imgur帳號有四年了，絕非我僞造的，懷疑的人可以免了

補上影片存檔備份，防止頁庫消失

雖然Ibakablock在第一時間就刪除所有證據，包含文章跟圖片
但，證據早已備份，他刪也來不及了。

另外，還有張熱心板友寄信提供給我的證據

圖中資訊可以得知，
他是反甲連板主成員之一
，事件就此告破

結論

賣帳號的 
jerry030216 就是 IbakaBlock

IbakaBlock 要不要出來解釋一下，你爲何要賣帳號呢？

對了，IbakaBlock 都不覺得不好意思嗎？ 竟敢在賣場這樣寫

「本帳號為前八卦板主，屬影響力極大之帳號」

差點被罷免，名聲臭到不行的你，是有什麼影響力啊？
你下台的原因是因為不管板，所以吃了站務給的兩支警告，被解職的欸

不管你帳號是否交易成功，現在你已經失去公信力了

發這篇就是要提醒大家，IbakaBlock以後如果跑出來帶風向
那麼，IbakaBlock這ID的靈魂有可能已經換了，大家要注意！

文末警告

PTT不能明示暗示要出售或徵求帳號   不然帳號會被砍除！！！！

問自己帳號值多少錢也不行！請珍惜自己的帳號！！！！！！！！"
[問卦]  遊戲結束，有沒人想聽收購帳號的卦,https://www.ptt.cc/bbs/Gossiping/M.1566834417.A.1A9.html,2019-08-26 23:46:55,Bluce (洛神),"沒辦法了，我玩不下去了，因為沒有在老人隱版的老朋友們跑來問，連現實的朋友也跑來
關
心，只好把把遊戲提早結束，當然了，這是原因之一，還有就是公關公司也沒錢了，
所以想說要把這個帳號喔弄臭別人也沒辦法買，
所以找個帳號，弄個跳板，讓敵對也沒辦法來
買，
為什麼我知道呢？因為本來的瀏覽率，加上我自己也才19次，根本就沒有人來看這個
東西，誰會特別在意，還巨細彌遺，且能還包含在這19次之內（此帳號在爆料時，此賣區
並無增加流覽率，可見早就是都準備好）

簡單的來說，我根本也沒有什麼站長站務的權限，就只是一個很老的老帳號而已，心血來
潮的，就想玩玩公關公司，也想知道到底有沒有收購帳號這種事，跟公關公司接洽的第一
天，我就把這個事情拿在老人隱版上面討論，這個老人營版上面，的確有許多知名的老人
還有老站務，我也在老人隱版上面講，帳號不是不賣，我的人格也沒有那麼高尚，但是30
萬想買我的人格，最少也要100萬。我早就料想到公關公司會有這個動作，因為他們真的
認為我有這樣的權限，如果不摧毁，會是他們的重要敵人，只是我認為他們應該會晚一點
行動。

有些版友也蠻厲害的，知道我一開始開15萬，
有人來接洽之後，我馬上開到30萬，但是他們覺得不值，後來我就胡吹亂蓋一翻，中間人
聯繫了一下，居然可以直接決定30幾萬的現金，中間講話的過程跟權限，其實我可以感覺
的出來，公關公司根本就是某些政黨自己開的，經過之後的幾次接洽，我大概猜的出是哪
一個政黨，眼看著馬上成交，我又把他拉到某個數字，真的拿不出來了！所以各位不要再
幻想了，他們能拿出來的錢，就那一丁點，沒有那個五六十萬的啦。

我現在正在日本出差，明天要跟住吉還有小櫻ㄧ家的長輩吃飯，要早如果大家想
聽，幫我推上想聽，回來之後再好好的把這個故事還有公關公司的解析，讓大家知道公關
公司要的是什麼帳號，他們大概能出的價錢是多少？之前看不少板上有許多幻想解析文，
都還不夠精確，可是也不知道大家有沒有想看不想聽？
如果真的想看想聽，請推上想看，
順便把公關公司原來那篇噓爆，回台後我先問看看老人隱版的版主，有沒同意我把初跟公
關公司接洽的文轉出來，還有啊！我蝦皮上連結的那一個代購粉絲團的女生，不要去騷擾
人家，他是台中邦兄身邊及重要的人的阿嫂，因為長得漂亮有人氣，所以他的版借我用，
鄉民沒機會了，是大哥級的阿嫂"
[問卦]在蝦皮賣帳號被抓到怎麼辦QQ,https://www.ptt.cc/bbs/Gossiping/M.1566707322.A.289.html,2019-08-25 12:28:40,Gauss (地精),"4這樣啦☺
宅宅我剛剛看到一篇賣帳號的報價

上蝦皮一看不得了

尊爵。不凡。十九年

剛好我閱人無數，修過的圖在我面前跟沒修過一樣

十九年的帳號不就是妳嗎？

04年百大名人榜第60名的Bluce（洛神）

可入站務聚會的隱版？公關公司買來不就開金手指了？

這樣有會嚴重嗎？

——————————————————————

根據我的觀察，他沒有找代賣。真是個天才

（蝦皮同一賣場有在販賣洛神在PTT上的代購）

——————————————————————

持續漲價中，公關公司請手快

Sent from JPTT on my iPhone"
Re: [爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽,https://www.ptt.cc/bbs/Gossiping/M.1596798406.A.DFF.html,2020-08-07 19:06:44,kouta (F.U.),"用VPN日本試了幾組關鍵字

台灣不行，台 灣跟台灣人可以。

支那 可以：

(小熊)維尼 不行：

習近平 習維尼不行。

蔡英文 不行：

川普 不行：

柯文哲 可以：

人權 可以(反而蘋果的刻印不行)。

民主 不行：

時代革命、港獨 不行。

賴清德 不行。

黃國昌 可以。

韓國瑜 不行。

達賴 不行。

民進黨 國民黨不行：

民眾黨 可以：

時代力量、基進黨 可以。"
Re: [爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽(發錢),https://www.ptt.cc/bbs/Gossiping/M.1596796189.A.128.html,2020-08-07 18:29:47,tim731207 (鈞毓寶貝),": 是這樣啦，我有朋友跟我說他在國外想要在最挺臺灣的蝦皮買東西，可是他想買臺灣的東

: 西卻什麼都搜不到，我想說我平常也很喜歡在蝦皮買東西都搜的到啊?

: 他貼圖給我一對照才發現蝦皮國外連搜尋臺灣兩個字都被遮掉，跟我在臺灣搜尋的結果完

: 全不同!

: 

: 

: 附帶果不其然也沒搜到東西的臺灣獨立等等某國不喜歡的各式關鍵字

: 

: 

: 

: 支不支持是一回事，奇怪的是為什麼這些關鍵字臺灣都搜的到東西，但是非臺灣就被禁止?

: 意思是臺灣人自己有搜到就不會吵了，國外的看不到臺灣人不知道也無所謂?

: 最扯的是國外搜不到臺灣，臺灣這兩個字對蝦皮而言在國外是跟髒話一樣的禁語必須遮嗎?

: 蝦皮不是最挺臺灣跟政府關係密切怎麼會做出這種事?

: 臺灣價值這四個字真的是越看越噁心...

: 只要""關係""好，你實際上挺不挺台灣，是不是真的在乎這塊土地根本不重要

推文有人問了一些原po沒有的關鍵字，秉持實驗精神查了一下:

taiwan能查到嗎? no!

中國臺灣呢? yes!

看來蝦皮覺得中國臺灣才對呢，太神啦蝦皮!

鬼才信是什麼搜尋系統爛，如果是這樣為什麼國家不同結果就不一樣?

國外擋台灣是要對中國示忠還是根本就是裡面的中國人要求這樣擋的?

發錢高調，首推100p，每10推100p發到100推，第87推87p 稅後

垃圾中資賺台灣錢背後還弄這種小動作???"
[爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽,https://www.ptt.cc/bbs/Gossiping/M.1596709635.A.1FC.html,2020-08-06 18:27:13,lssh10523 (KTL),"是這樣啦，我有朋友跟我說他在國外想要在最挺臺灣的蝦皮買東西，可是他想買臺灣的東
西卻什麼都搜不到，我想說我平常也很喜歡在蝦皮買東西都搜的到啊?

他貼圖給我一對照才發現蝦皮國外連搜尋臺灣兩個字都被遮掉，跟我在臺灣搜尋的結果完
全不同!

附帶果不其然也沒搜到東西的臺灣獨立等等某國不喜歡的各式關鍵字

支不支持是一回事，奇怪的是為什麼這些關鍵字臺灣都搜的到東西，但是非臺灣就被禁止?
意思是臺灣人自己有搜到就不會吵了，國外的看不到臺灣人不知道也無所謂?
最扯的是國外搜不到臺灣，臺灣這兩個字對蝦皮而言在國外是跟髒話一樣的禁語必須遮嗎?
蝦皮不是最挺臺灣跟政府關係密切怎麼會做出這種事?
臺灣價值這四個字真的是越看越噁心...

只要""關係""好，你實際上挺不挺台灣，是不是真的在乎這塊土地根本不重要"
[爆卦] 前八卦板主IbakaBlock在蝦皮出售帳號!!!,https://www.ptt.cc/bbs/Gossiping/M.1572436091.A.02C.html,2019-10-30 19:48:07,zhtw (終將化爲泡影),"文前警告

PTT不能明示暗示要出售或徵求帳號   不然帳號會被砍除！！！！

問自己帳號值多少錢也不行！請珍惜自己的帳號！！！！！！！！

不知道前因的人，請先看下面這篇文章

文章代碼(AID): 
#1Tk2HyaK (Gossiping)

 [爆卦] (代po)疑似前八卦板主出售帳號ID

網頁版連結：

經我抽絲剝繭後，有了第二篇文章

文章代碼(AID): 
#1Tk3Bx8_ (Gossiping)

網頁版連結：

簡單來說，這位賣帳號的板主
jerry030216
有幾個特徵
1.登入次數2000次左右 

2.發文數1000篇以上
3.臺中人  

我在27日時就發現這個賣帳者了
所以在27日當天，我用網頁時光機備份了他的蝦皮賣場

板友們可以看一下當時的備份

這樣一來，範圍已經縮小很多很多了
再來，大家可以用Line搜尋IbakaBlock
可以知道，他也叫做Jerry，天底下有這麼多的巧合？

當時我就懷疑
賣帳者就是IbakaBlock

後來，我又找到了新的證據

證據就在

[問卦] 為什麼港澳要承認中華民國護照?

此篇文章他已經刪除了，但我早已備份

可以看到 Ibakablock 貼了一張入境申請表

查詢了imgur中jerry030216的帳號

可以發現一件事
Ibakablock連結的這張入境申請表就是jerry030216上傳的

由此可知，
jerry030216就是Ibakablock

這imgur帳號有四年了，絕非我僞造的，懷疑的人可以免了

補上影片存檔備份，防止頁庫消失

雖然Ibakablock在第一時間就刪除所有證據，包含文章跟圖片
但，證據早已備份，他刪也來不及了。

另外，還有張熱心板友寄信提供給我的證據

圖中資訊可以得知，
他是反甲連板主成員之一
，事件就此告破

結論

賣帳號的 
jerry030216 就是 IbakaBlock

IbakaBlock 要不要出來解釋一下，你爲何要賣帳號呢？

對了，IbakaBlock 都不覺得不好意思嗎？ 竟敢在賣場這樣寫

「本帳號為前八卦板主，屬影響力極大之帳號」

差點被罷免，名聲臭到不行的你，是有什麼影響力啊？
你下台的原因是因為不管板，所以吃了站務給的兩支警告，被解職的欸

不管你帳號是否交易成功，現在你已經失去公信力了

發這篇就是要提醒大家，IbakaBlock以後如果跑出來帶風向
那麼，IbakaBlock這ID的靈魂有可能已經換了，大家要注意！

文末警告

PTT不能明示暗示要出售或徵求帳號   不然帳號會被砍除！！！！

問自己帳號值多少錢也不行！請珍惜自己的帳號！！！！！！！！"
[問卦]  遊戲結束，有沒人想聽收購帳號的卦,https://www.ptt.cc/bbs/Gossiping/M.1566834417.A.1A9.html,2019-08-26 23:46:55,Bluce (洛神),"沒辦法了，我玩不下去了，因為沒有在老人隱版的老朋友們跑來問，連現實的朋友也跑來
關
心，只好把把遊戲提早結束，當然了，這是原因之一，還有就是公關公司也沒錢了，
所以想說要把這個帳號喔弄臭別人也沒辦法買，
所以找個帳號，弄個跳板，讓敵對也沒辦法來
買，
為什麼我知道呢？因為本來的瀏覽率，加上我自己也才19次，根本就沒有人來看這個
東西，誰會特別在意，還巨細彌遺，且能還包含在這19次之內（此帳號在爆料時，此賣區
並無增加流覽率，可見早就是都準備好）

簡單的來說，我根本也沒有什麼站長站務的權限，就只是一個很老的老帳號而已，心血來
潮的，就想玩玩公關公司，也想知道到底有沒有收購帳號這種事，跟公關公司接洽的第一
天，我就把這個事情拿在老人隱版上面討論，這個老人營版上面，的確有許多知名的老人
還有老站務，我也在老人隱版上面講，帳號不是不賣，我的人格也沒有那麼高尚，但是30
萬想買我的人格，最少也要100萬。我早就料想到公關公司會有這個動作，因為他們真的
認為我有這樣的權限，如果不摧毁，會是他們的重要敵人，只是我認為他們應該會晚一點
行動。

有些版友也蠻厲害的，知道我一開始開15萬，
有人來接洽之後，我馬上開到30萬，但是他們覺得不值，後來我就胡吹亂蓋一翻，中間人
聯繫了一下，居然可以直接決定30幾萬的現金，中間講話的過程跟權限，其實我可以感覺
的出來，公關公司根本就是某些政黨自己開的，經過之後的幾次接洽，我大概猜的出是哪
一個政黨，眼看著馬上成交，我又把他拉到某個數字，真的拿不出來了！所以各位不要再
幻想了，他們能拿出來的錢，就那一丁點，沒有那個五六十萬的啦。

我現在正在日本出差，明天要跟住吉還有小櫻ㄧ家的長輩吃飯，要早如果大家想
聽，幫我推上想聽，回來之後再好好的把這個故事還有公關公司的解析，讓大家知道公關
公司要的是什麼帳號，他們大概能出的價錢是多少？之前看不少板上有許多幻想解析文，
都還不夠精確，可是也不知道大家有沒有想看不想聽？
如果真的想看想聽，請推上想看，
順便把公關公司原來那篇噓爆，回台後我先問看看老人隱版的版主，有沒同意我把初跟公
關公司接洽的文轉出來，還有啊！我蝦皮上連結的那一個代購粉絲團的女生，不要去騷擾
人家，他是台中邦兄身邊及重要的人的阿嫂，因為長得漂亮有人氣，所以他的版借我用，
鄉民沒機會了，是大哥級的阿嫂"
[問卦]在蝦皮賣帳號被抓到怎麼辦QQ,https://www.ptt.cc/bbs/Gossiping/M.1566707322.A.289.html,2019-08-25 12:28:40,Gauss (地精),"4這樣啦☺
宅宅我剛剛看到一篇賣帳號的報價

上蝦皮一看不得了

尊爵。不凡。十九年

剛好我閱人無數，修過的圖在我面前跟沒修過一樣

十九年的帳號不就是妳嗎？

04年百大名人榜第60名的Bluce（洛神）

可入站務聚會的隱版？公關公司買來不就開金手指了？

這樣有會嚴重嗎？

——————————————————————

根據我的觀察，他沒有找代賣。真是個天才

（蝦皮同一賣場有在販賣洛神在PTT上的代購）

——————————————————————

持續漲價中，公關公司請手快

Sent from JPTT on my iPhone"
Re: [爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽,https://www.ptt.cc/bbs/Gossiping/M.1596798406.A.DFF.html,2020-08-07 19:06:44,kouta (F.U.),"用VPN日本試了幾組關鍵字

台灣不行，台 灣跟台灣人可以。

支那 可以：

(小熊)維尼 不行：

習近平 習維尼不行。

蔡英文 不行：

川普 不行：

柯文哲 可以：

人權 可以(反而蘋果的刻印不行)。

民主 不行：

時代革命、港獨 不行。

賴清德 不行。

黃國昌 可以。

韓國瑜 不行。

達賴 不行。

民進黨 國民黨不行：

民眾黨 可以：

時代力量、基進黨 可以。"
Re: [爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽(發錢),https://www.ptt.cc/bbs/Gossiping/M.1596796189.A.128.html,2020-08-07 18:29:47,tim731207 (鈞毓寶貝),": 是這樣啦，我有朋友跟我說他在國外想要在最挺臺灣的蝦皮買東西，可是他想買臺灣的東

: 西卻什麼都搜不到，我想說我平常也很喜歡在蝦皮買東西都搜的到啊?

: 他貼圖給我一對照才發現蝦皮國外連搜尋臺灣兩個字都被遮掉，跟我在臺灣搜尋的結果完

: 全不同!

: 

: 

: 附帶果不其然也沒搜到東西的臺灣獨立等等某國不喜歡的各式關鍵字

: 

: 

: 

: 支不支持是一回事，奇怪的是為什麼這些關鍵字臺灣都搜的到東西，但是非臺灣就被禁止?

: 意思是臺灣人自己有搜到就不會吵了，國外的看不到臺灣人不知道也無所謂?

: 最扯的是國外搜不到臺灣，臺灣這兩個字對蝦皮而言在國外是跟髒話一樣的禁語必須遮嗎?

: 蝦皮不是最挺臺灣跟政府關係密切怎麼會做出這種事?

: 臺灣價值這四個字真的是越看越噁心...

: 只要""關係""好，你實際上挺不挺台灣，是不是真的在乎這塊土地根本不重要

推文有人問了一些原po沒有的關鍵字，秉持實驗精神查了一下:

taiwan能查到嗎? no!

中國臺灣呢? yes!

看來蝦皮覺得中國臺灣才對呢，太神啦蝦皮!

鬼才信是什麼搜尋系統爛，如果是這樣為什麼國家不同結果就不一樣?

國外擋台灣是要對中國示忠還是根本就是裡面的中國人要求這樣擋的?

發錢高調，首推100p，每10推100p發到100推，第87推87p 稅後

垃圾中資賺台灣錢背後還弄這種小動作???"
[爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽,https://www.ptt.cc/bbs/Gossiping/M.1596709635.A.1FC.html,2020-08-06 18:27:13,lssh10523 (KTL),"是這樣啦，我有朋友跟我說他在國外想要在最挺臺灣的蝦皮買東西，可是他想買臺灣的東
西卻什麼都搜不到，我想說我平常也很喜歡在蝦皮買東西都搜的到啊?

他貼圖給我一對照才發現蝦皮國外連搜尋臺灣兩個字都被遮掉，跟我在臺灣搜尋的結果完
全不同!

附帶果不其然也沒搜到東西的臺灣獨立等等某國不喜歡的各式關鍵字

支不支持是一回事，奇怪的是為什麼這些關鍵字臺灣都搜的到東西，但是非臺灣就被禁止?
意思是臺灣人自己有搜到就不會吵了，國外的看不到臺灣人不知道也無所謂?
最扯的是國外搜不到臺灣，臺灣這兩個字對蝦皮而言在國外是跟髒話一樣的禁語必須遮嗎?
蝦皮不是最挺臺灣跟政府關係密切怎麼會做出這種事?
臺灣價值這四個字真的是越看越噁心...

只要""關係""好，你實際上挺不挺台灣，是不是真的在乎這塊土地根本不重要"
[爆卦] 前八卦板主IbakaBlock在蝦皮出售帳號!!!,https://www.ptt.cc/bbs/Gossiping/M.1572436091.A.02C.html,2019-10-30 19:48:07,zhtw (終將化爲泡影),"文前警告

PTT不能明示暗示要出售或徵求帳號   不然帳號會被砍除！！！！

問自己帳號值多少錢也不行！請珍惜自己的帳號！！！！！！！！

不知道前因的人，請先看下面這篇文章

文章代碼(AID): 
#1Tk2HyaK (Gossiping)

 [爆卦] (代po)疑似前八卦板主出售帳號ID

網頁版連結：

經我抽絲剝繭後，有了第二篇文章

文章代碼(AID): 
#1Tk3Bx8_ (Gossiping)

網頁版連結：

簡單來說，這位賣帳號的板主
jerry030216
有幾個特徵
1.登入次數2000次左右 

2.發文數1000篇以上
3.臺中人  

我在27日時就發現這個賣帳者了
所以在27日當天，我用網頁時光機備份了他的蝦皮賣場

板友們可以看一下當時的備份

這樣一來，範圍已經縮小很多很多了
再來，大家可以用Line搜尋IbakaBlock
可以知道，他也叫做Jerry，天底下有這麼多的巧合？

當時我就懷疑
賣帳者就是IbakaBlock

後來，我又找到了新的證據

證據就在

[問卦] 為什麼港澳要承認中華民國護照?

此篇文章他已經刪除了，但我早已備份

可以看到 Ibakablock 貼了一張入境申請表

查詢了imgur中jerry030216的帳號

可以發現一件事
Ibakablock連結的這張入境申請表就是jerry030216上傳的

由此可知，
jerry030216就是Ibakablock

這imgur帳號有四年了，絕非我僞造的，懷疑的人可以免了

補上影片存檔備份，防止頁庫消失

雖然Ibakablock在第一時間就刪除所有證據，包含文章跟圖片
但，證據早已備份，他刪也來不及了。

另外，還有張熱心板友寄信提供給我的證據

圖中資訊可以得知，
他是反甲連板主成員之一
，事件就此告破

結論

賣帳號的 
jerry030216 就是 IbakaBlock

IbakaBlock 要不要出來解釋一下，你爲何要賣帳號呢？

對了，IbakaBlock 都不覺得不好意思嗎？ 竟敢在賣場這樣寫

「本帳號為前八卦板主，屬影響力極大之帳號」

差點被罷免，名聲臭到不行的你，是有什麼影響力啊？
你下台的原因是因為不管板，所以吃了站務給的兩支警告，被解職的欸

不管你帳號是否交易成功，現在你已經失去公信力了

發這篇就是要提醒大家，IbakaBlock以後如果跑出來帶風向
那麼，IbakaBlock這ID的靈魂有可能已經換了，大家要注意！

文末警告

PTT不能明示暗示要出售或徵求帳號   不然帳號會被砍除！！！！

問自己帳號值多少錢也不行！請珍惜自己的帳號！！！！！！！！"
[問卦]  遊戲結束，有沒人想聽收購帳號的卦,https://www.ptt.cc/bbs/Gossiping/M.1566834417.A.1A9.html,2019-08-26 23:46:55,Bluce (洛神),"沒辦法了，我玩不下去了，因為沒有在老人隱版的老朋友們跑來問，連現實的朋友也跑來
關
心，只好把把遊戲提早結束，當然了，這是原因之一，還有就是公關公司也沒錢了，
所以想說要把這個帳號喔弄臭別人也沒辦法買，
所以找個帳號，弄個跳板，讓敵對也沒辦法來
買，
為什麼我知道呢？因為本來的瀏覽率，加上我自己也才19次，根本就沒有人來看這個
東西，誰會特別在意，還巨細彌遺，且能還包含在這19次之內（此帳號在爆料時，此賣區
並無增加流覽率，可見早就是都準備好）

簡單的來說，我根本也沒有什麼站長站務的權限，就只是一個很老的老帳號而已，心血來
潮的，就想玩玩公關公司，也想知道到底有沒有收購帳號這種事，跟公關公司接洽的第一
天，我就把這個事情拿在老人隱版上面討論，這個老人營版上面，的確有許多知名的老人
還有老站務，我也在老人隱版上面講，帳號不是不賣，我的人格也沒有那麼高尚，但是30
萬想買我的人格，最少也要100萬。我早就料想到公關公司會有這個動作，因為他們真的
認為我有這樣的權限，如果不摧毁，會是他們的重要敵人，只是我認為他們應該會晚一點
行動。

有些版友也蠻厲害的，知道我一開始開15萬，
有人來接洽之後，我馬上開到30萬，但是他們覺得不值，後來我就胡吹亂蓋一翻，中間人
聯繫了一下，居然可以直接決定30幾萬的現金，中間講話的過程跟權限，其實我可以感覺
的出來，公關公司根本就是某些政黨自己開的，經過之後的幾次接洽，我大概猜的出是哪
一個政黨，眼看著馬上成交，我又把他拉到某個數字，真的拿不出來了！所以各位不要再
幻想了，他們能拿出來的錢，就那一丁點，沒有那個五六十萬的啦。

我現在正在日本出差，明天要跟住吉還有小櫻ㄧ家的長輩吃飯，要早如果大家想
聽，幫我推上想聽，回來之後再好好的把這個故事還有公關公司的解析，讓大家知道公關
公司要的是什麼帳號，他們大概能出的價錢是多少？之前看不少板上有許多幻想解析文，
都還不夠精確，可是也不知道大家有沒有想看不想聽？
如果真的想看想聽，請推上想看，
順便把公關公司原來那篇噓爆，回台後我先問看看老人隱版的版主，有沒同意我把初跟公
關公司接洽的文轉出來，還有啊！我蝦皮上連結的那一個代購粉絲團的女生，不要去騷擾
人家，他是台中邦兄身邊及重要的人的阿嫂，因為長得漂亮有人氣，所以他的版借我用，
鄉民沒機會了，是大哥級的阿嫂"
[問卦]在蝦皮賣帳號被抓到怎麼辦QQ,https://www.ptt.cc/bbs/Gossiping/M.1566707322.A.289.html,2019-08-25 12:28:40,Gauss (地精),"4這樣啦☺
宅宅我剛剛看到一篇賣帳號的報價

上蝦皮一看不得了

尊爵。不凡。十九年

剛好我閱人無數，修過的圖在我面前跟沒修過一樣

十九年的帳號不就是妳嗎？

04年百大名人榜第60名的Bluce（洛神）

可入站務聚會的隱版？公關公司買來不就開金手指了？

這樣有會嚴重嗎？

——————————————————————

根據我的觀察，他沒有找代賣。真是個天才

（蝦皮同一賣場有在販賣洛神在PTT上的代購）

——————————————————————

持續漲價中，公關公司請手快

Sent from JPTT on my iPhone"
Re: [爆卦] 國外上蝦皮關鍵字打臺灣被遮蔽,https://www.ptt.cc/bbs/Gossiping/M.1596798406.A.DFF.html,2020-08-07 19:06:44,kouta (F.U.),"用VPN日本試了幾組關鍵字

台灣不行，台 灣跟台灣人可以。

支那 可以：

(小熊)維尼 不行：

習近平 習維尼不行。

蔡英文 不行：

川普 不行：

柯文哲 可以：

人權 可以(反而蘋果的刻印不行)。

民主 不行：

時代革命、港獨 不行。

賴清德 不行。

黃國昌 可以。

韓國瑜 不行。

達賴 不行。

民進黨 國民黨不行：

民眾黨 可以：

時代力量、基進黨 可以。"
